id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0935429,1,2016-05-02 6:58,2016-05-02 7:08,1,-73.9990921,40.74549103,-73.9785614,40.76232529,N,611
id3056417,2,2016-04-11 14:18,2016-04-11 14:34,1,-73.98435974,40.74271011,-73.98774719,40.75188828,N,972
id1152886,2,2016-01-21 14:34,2016-01-21 14:44,1,-73.96167755,40.7711792,-73.95211029,40.78435898,N,604
id1796723,1,2016-02-09 15:54,2016-02-09 16:04,1,-73.99385834,40.73579788,-73.99462128,40.75046158,N,594
id0045014,1,2016-04-20 20:29,2016-04-20 20:39,1,-73.95012665,40.78008652,-73.96282959,40.76268387,N,574
id2648478,1,2016-01-18 11:13,2016-01-18 11:18,1,-73.95157623,40.76646805,-73.96021271,40.76054001,N,297
id0702030,1,2016-01-07 23:24,2016-01-07 23:26,1,-73.9992981,40.74953461,-74.00536346,40.74351883,N,101
id3024438,2,2016-06-10 22:24,2016-06-10 22:41,1,-73.95372009,40.77529526,-73.99119568,40.72631836,N,1041
id2146569,2,2016-06-23 22:17,2016-06-23 22:21,1,-73.97679901,40.74995041,-73.98156738,40.7457695,N,212
id2307151,1,2016-02-07 18:08,2016-02-07 18:15,1,-73.96195221,40.80044556,-73.97841644,40.78279114,N,422
id2049424,2,2016-03-02 20:15,2016-03-02 20:37,1,-73.96389008,40.77365112,-74.00511169,40.75149155,N,1356
id2209089,1,2016-02-24 22:56,2016-02-24 23:03,1,-74.00691223,40.73036194,-74.0059433,40.72706985,N,416
id0391524,1,2016-04-06 12:14,2016-04-06 12:33,1,-73.97864532,40.74803543,-73.97013092,40.76273727,N,1118
id2681033,1,2016-06-17 10:01,2016-06-17 10:16,1,-73.97682953,40.78821182,-73.98374939,40.76253128,N,874
id2040275,1,2016-06-16 20:31,2016-06-16 20:36,1,-73.93694305,40.79823303,-73.94638062,40.78088379,N,321
id0073842,2,2016-03-30 23:49,2016-03-30 23:56,1,-73.99005127,40.73801041,-73.99093628,40.72521591,N,400
id3942339,1,2016-01-05 17:58,2016-01-05 18:13,1,-73.97882843,40.7528038,-73.99103546,40.75041962,N,934
id2991616,2,2016-03-19 19:51,2016-03-19 20:04,3,-73.98356628,40.75556183,-73.98236847,40.76696014,N,773
id1047459,2,2016-01-22 17:31,2016-01-22 17:37,3,-73.98841095,40.75896072,-73.99189758,40.77069092,N,337
id1737558,1,2016-05-18 19:08,2016-05-18 19:12,1,-73.9602356,40.76222992,-73.95059204,40.77531433,N,234
id2135557,2,2016-05-25 13:19,2016-05-25 13:27,5,-73.97028351,40.76483154,-73.95757294,40.78247833,N,474
id0659170,2,2016-03-26 13:07,2016-03-26 13:29,1,-73.96865845,40.76450729,-73.87283325,40.77145386,N,1314
id1125774,1,2016-01-19 22:20,2016-01-19 22:28,2,-73.99453735,40.74023438,-73.97618866,40.76259232,N,482
id1886740,1,2016-05-29 0:15,2016-05-29 0:24,1,-73.98511505,40.76872635,-73.95166779,40.77443314,N,566
id1982306,2,2016-02-10 21:06,2016-02-10 21:09,2,-73.98493958,40.75185776,-73.9835434,40.74433517,N,189
id2684106,2,2016-02-26 20:59,2016-02-26 21:14,2,-74.00100708,40.73178101,-73.9871521,40.77100372,N,913
id0038484,2,2016-03-09 13:41,2016-03-09 13:53,2,-73.97285461,40.76440048,-73.97180939,40.75788879,N,736
id1734208,2,2016-04-11 10:44,2016-04-11 10:56,6,-73.99707794,40.72063828,-73.99963379,40.74583817,N,714
id0561467,1,2016-02-09 6:58,2016-02-09 7:12,1,-73.97254944,40.79401779,-73.95405579,40.7663002,N,815
id3092788,2,2016-03-03 22:01,2016-03-03 22:17,2,-73.98477173,40.71057129,-73.9894104,40.73014832,N,972
id1741519,2,2016-03-26 14:47,2016-03-26 14:53,1,-73.98478699,40.74301529,-73.99360657,40.73528671,N,318
id1330402,2,2016-05-22 18:06,2016-05-22 18:16,1,-73.99182129,40.75007629,-73.97105408,40.75669861,N,625
id2505596,2,2016-05-28 22:53,2016-05-28 23:07,1,-73.98498535,40.74858093,-73.98127747,40.76911545,N,859
id1630509,2,2016-03-16 5:42,2016-03-16 5:45,2,-73.9936676,40.74187851,-73.98458862,40.75429916,N,141
id0512853,1,2016-05-28 17:40,2016-05-28 17:56,1,-73.96956635,40.76916504,-73.98652649,40.73033524,N,983
id3089912,2,2016-06-13 13:22,2016-06-13 13:31,2,-73.98995972,40.74108124,-73.97696686,40.74745178,N,565
id1137965,1,2016-05-16 15:02,2016-05-16 15:08,1,-73.98913574,40.7750206,-73.98181915,40.76605988,N,351
id3677225,2,2016-01-09 15:07,2016-01-09 15:12,1,-73.96788025,40.7598114,-73.9538269,40.77888107,N,342
id0401226,1,2016-05-26 6:37,2016-05-26 6:52,4,-74.00670624,40.70555496,-73.99169159,40.74972153,N,909
id2452605,2,2016-05-22 22:42,2016-05-22 22:46,1,-73.99626923,40.74985123,-73.99476624,40.73648071,N,227
id3618302,2,2016-04-19 9:27,2016-04-19 9:45,6,-73.98731995,40.75064087,-73.98928833,40.76940536,N,1078
id1552358,2,2016-04-01 7:55,2016-04-01 8:10,1,-73.97543335,40.75213242,-73.99078369,40.75094223,N,900
id1168234,1,2016-02-01 18:02,2016-02-01 18:13,1,-74.00020599,40.73784637,-74.00031281,40.72286606,N,631
id2910320,2,2016-04-20 7:33,2016-04-20 7:56,1,-73.95545959,40.76730728,-73.98899841,40.69316864,N,1385
id3331830,1,2016-04-12 9:21,2016-04-12 9:35,1,-73.96486664,40.75579071,-73.97580719,40.75735474,N,869
id0195963,2,2016-06-19 18:39,2016-06-19 18:48,1,-73.99916077,40.74436951,-73.9887085,40.75870132,N,574
id0762989,2,2016-03-17 8:24,2016-03-17 8:26,1,-73.97761536,40.76357269,-73.97257233,40.76595688,N,104
id2671060,2,2016-04-07 8:44,2016-04-07 8:51,1,-73.95311737,40.77180099,-73.94792175,40.78314972,N,418
id3620795,1,2016-01-01 10:45,2016-01-01 10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,N,383
id2282206,1,2016-01-04 16:32,2016-01-04 16:51,2,-73.96218109,40.81072617,-73.9948349,40.75281143,N,1117
id0591292,1,2016-06-09 18:43,2016-06-09 19:07,1,-73.98696899,40.74285126,-73.99428558,40.76135635,N,1447
id0906779,1,2016-04-19 8:31,2016-04-19 9:14,2,-73.97155762,40.75062943,-73.95262909,40.63159561,N,2543
id2326430,2,2016-06-10 22:06,2016-06-10 22:23,1,-73.95687866,40.77487183,-73.93650818,40.85718536,N,981
id3863815,2,2016-03-14 4:24,2016-03-14 4:37,3,-73.94435883,40.71448898,-73.91053009,40.70949173,N,755
id3048297,2,2016-04-06 8:53,2016-04-06 9:14,1,-73.97279358,40.75559616,-73.87312317,40.77445602,N,1257
id3649509,1,2016-04-02 14:46,2016-04-02 15:06,2,-74.00554657,40.70926285,-73.97014618,40.76274109,N,1221
id1783063,2,2016-04-06 12:24,2016-04-06 12:40,2,-73.98464966,40.74597931,-73.97737885,40.75965118,N,940
id3363012,2,2016-04-12 20:22,2016-04-12 20:24,1,-73.96196747,40.77008057,-73.96077728,40.77505112,N,126
id0514638,1,2016-02-10 8:36,2016-02-10 8:42,1,-73.96942139,40.80003357,-73.9681778,40.79170227,N,350
id0627115,2,2016-02-26 16:10,2016-02-26 16:23,1,-73.98262787,40.76211166,-73.99337006,40.74748993,N,737
id3141299,2,2016-01-14 12:25,2016-01-14 12:37,3,-73.99577332,40.74256897,-74.00809479,40.72277069,N,690
id2003497,1,2016-04-15 11:58,2016-04-15 12:09,2,-74.00007629,40.74829865,-73.98988342,40.73796463,N,671
id3748197,1,2016-02-07 23:17,2016-02-07 23:25,1,-73.9991684,40.73423386,-73.98209381,40.74027634,N,463
id2983261,1,2016-04-15 14:41,2016-04-15 14:47,1,-74.01425171,40.71391296,-74.00462341,40.7053833,N,367
id0485870,2,2016-06-19 20:23,2016-06-19 20:29,1,-73.99089813,40.75066376,-73.99321747,40.73419952,N,369
id0835694,1,2016-01-15 19:25,2016-01-15 19:31,1,-73.97510529,40.75569153,-73.9855957,40.74747467,N,402
id3426410,2,2016-02-18 9:27,2016-02-18 9:45,5,-73.96743774,40.75934982,-74.01268768,40.70161057,N,1093
id3673678,2,2016-01-31 13:52,2016-01-31 14:03,1,-73.97599792,40.75113678,-74.00185394,40.73522949,N,657
id2460349,1,2016-01-07 15:40,2016-01-07 15:49,2,-73.9789505,40.75093079,-73.96439362,40.75496292,N,530
id3198639,1,2016-06-05 3:02,2016-06-05 3:14,1,-73.97978973,40.78126526,-73.94087982,40.82322311,N,733
id1872601,2,2016-05-31 19:16,2016-05-31 19:27,2,-73.98686218,40.7509613,-74.00537872,40.74002838,N,699
id0125957,1,2016-06-14 21:16,2016-06-14 21:21,2,-73.96701813,40.75300598,-73.95162964,40.76935959,N,294
id3526986,2,2016-02-23 13:28,2016-02-23 13:40,1,-73.97038269,40.76499176,-73.94966888,40.76845932,N,661
id3170873,1,2016-06-30 21:35,2016-06-30 21:46,1,-74.00243378,40.7171669,-73.98596954,40.72674942,N,652
id1674373,2,2016-02-15 17:52,2016-02-15 18:02,5,-74.00749969,40.74095154,-74.01664734,40.70491028,N,586
id2973697,2,2016-04-07 22:52,2016-04-07 23:10,2,-73.99538422,40.7492981,-73.98932648,40.71814728,N,1057
id1592044,1,2016-01-29 11:23,2016-01-29 11:33,1,-73.98667908,40.72584915,-73.99746704,40.7351532,N,580
id3899813,2,2016-06-01 20:15,2016-06-01 20:34,5,-73.98002625,40.76596832,-73.99120331,40.75035095,N,1151
id2075052,1,2016-04-09 9:09,2016-04-09 9:20,1,-73.95449829,40.76680756,-73.98778534,40.7208786,N,660
id3707411,1,2016-01-03 2:03,2016-01-03 2:17,1,-74.00772858,40.74060822,-73.98351288,40.73720932,N,803
id1608545,1,2016-04-14 8:31,2016-04-14 9:03,1,-74.00679779,40.73107147,-73.97496033,40.75846863,N,1954
id3517425,2,2016-01-16 20:34,2016-01-16 20:51,6,-73.98092651,40.75524139,-74.00455475,40.7296524,N,1030
id3942917,1,2016-04-29 14:18,2016-04-29 15:05,4,-73.86277771,40.76931381,-73.98612976,40.74858093,N,2817
id2000923,2,2016-03-29 6:07,2016-03-29 6:09,5,-73.98786926,40.76509857,-73.99360657,40.75894928,N,85
id3564028,1,2016-01-02 1:16,2016-01-02 1:19,1,-73.95413208,40.77478409,-73.94741821,40.77963257,N,194
id1233453,1,2016-02-05 17:28,2016-02-05 17:30,1,-73.9720993,40.78220749,-73.96451569,40.77754974,N,116
id1372674,2,2016-05-22 13:08,2016-05-22 13:21,1,-73.97821045,40.77716064,-73.95762634,40.77454758,N,806
id2806146,2,2016-05-28 21:31,2016-05-28 21:41,1,-73.98357391,40.73841858,-74.00548553,40.73955917,N,599
id1832737,2,2016-03-06 10:53,2016-03-06 10:59,1,-73.98471069,40.76018143,-73.97956085,40.75270462,N,364
id1489766,2,2016-05-31 19:53,2016-05-31 20:00,1,-73.98989105,40.74715805,-73.97494507,40.741745,N,433
id3308765,2,2016-05-17 18:00,2016-05-17 18:10,4,-73.86347198,40.76981735,-73.87153625,40.76310349,N,598
id1935437,2,2016-04-24 9:09,2016-04-24 9:37,1,-73.9758606,40.7572403,-74.17759705,40.69094849,N,1665
id2059551,2,2016-04-01 9:28,2016-04-01 9:42,1,-73.95665741,40.78076935,-73.96964264,40.80010223,N,838
id2433939,1,2016-05-16 13:05,2016-05-16 13:33,3,-73.87300873,40.77412033,-73.97607422,40.74991226,N,1699
id2677357,2,2016-02-15 16:36,2016-02-15 16:41,2,-73.97163391,40.78196335,-73.98168945,40.77899551,N,331
id2336715,2,2016-01-01 0:09,2016-01-01 0:19,2,-73.98435974,40.74898529,-73.99628448,40.71605682,N,622
id3525276,1,2016-03-24 18:27,2016-03-24 18:32,1,-73.97097015,40.76412582,-73.96228027,40.77618027,N,343
id3729126,1,2016-01-04 14:20,2016-01-04 14:36,1,-73.86691284,40.77187729,-73.79469299,40.7347908,N,998
id1073968,1,2016-03-15 9:44,2016-03-15 10:07,1,-73.95521545,40.78024673,-73.86183167,40.76845551,N,1365
id0562336,2,2016-06-15 10:17,2016-06-15 10:27,2,-73.95274353,40.77225876,-73.97776794,40.73911285,N,592
id1163958,1,2016-03-18 7:48,2016-03-18 7:53,1,-73.97257996,40.74890518,-73.96156311,40.76051712,N,313
id1681877,1,2016-04-26 14:42,2016-04-26 14:57,1,-73.95526123,40.78024292,-73.96987152,40.7897644,N,890
id0945119,2,2016-05-02 18:29,2016-05-02 18:38,6,-74.00283813,40.76036072,-73.98841095,40.77898026,N,558
id2939783,1,2016-04-12 10:11,2016-04-12 10:34,1,-73.99006653,40.75193405,-73.98975372,40.72386932,N,1389
id2050990,2,2016-06-20 21:05,2016-06-20 21:47,1,-73.99008179,40.75673676,-73.95513153,40.67752457,N,2556
id3780362,2,2016-05-08 21:13,2016-05-08 21:16,2,-73.94952393,40.77661133,-73.94267273,40.78596878,N,135
id2233338,2,2016-01-14 19:14,2016-01-14 19:23,2,-73.99514008,40.75,-73.99369812,40.73550034,N,533
id1445390,2,2016-01-19 8:00,2016-01-19 8:17,3,-73.96012115,40.7819519,-73.9719696,40.75503922,N,1035
id0345679,2,2016-03-22 20:24,2016-03-22 20:33,1,-73.99752045,40.721241,-73.98800659,40.72082138,N,574
