passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_duration,distance,velocity,severity_scale,year,quarter_of_year,month,week_day,hour,minute
1,-73.96547,40.765846,-73.96095,40.79693,876,3.4770365,14.289191,5,2016,2,4,1,19,11
1,-73.99682,40.75286,-73.809006,40.816875,1557,17.340816,40.09437,1,2016,1,1,3,23,19
1,-73.97726,40.774246,-73.99001,40.732655,1647,4.747963,10.378061,5,2016,2,5,7,13,18
6,-73.97775,40.75463,-74.00168,40.75642,634,2.025073,11.498837,5,2016,1,2,2,9,25
1,-73.93488,40.80101,-73.983,40.72257,819,9.617837,42.276207,1,2016,2,5,1,9,42
3,-73.79289,40.65788,-73.80919,40.69018,3528,3.8458593,3.9243462,5,2016,2,4,3,11,29
2,-73.98234,40.76281,-73.98286,40.74878,1228,1.5607275,4.575423,5,2016,1,1,7,15,41
1,-73.99485,40.71878,-73.98341,40.75885,2607,4.5585294,6.2948623,5,2016,2,4,6,11,28
1,-73.994484,40.745087,-73.99899,40.72271,695,2.5170474,13.037944,5,2016,1,3,2,15,4
1,-73.95342,40.76766,-73.980316,40.73778,472,4.0209994,30.66864,1,2016,1,3,7,17,41
1,-73.95185,40.71407,-73.96797,40.68872,526,3.129147,21.416216,1,2016,1,2,2,2,46
4,-73.97695,40.75202,-74.00121,40.751614,721,2.044171,10.206679,5,2016,1,1,5,17,1
1,-74.0018,40.726135,-74.00716,40.740807,512,1.6926426,11.901393,5,2016,2,5,6,12,32
1,-73.994095,40.76155,-73.98064,40.78964,720,3.322445,16.612225,5,2016,2,5,3,12,16
1,-73.9483,40.774437,-73.96371,40.755486,788,2.4746015,11.305286,5,2016,1,2,2,11,22
2,-74.00141,40.761433,-73.92463,40.86403,1003,13.111136,47.058914,1,2016,2,6,7,22,5
5,-73.97833,40.75407,-73.95973,40.77276,870,2.6023574,10.768375,5,2016,1,2,4,16,22
1,-73.86338,40.76989,-73.83713,40.72136,814,5.831968,25.792486,1,2016,2,6,3,22,32
1,-73.992325,40.73072,-73.872505,40.774498,2275,11.20546,17.731716,5,2016,1,3,5,17,58
1,-73.98884,40.7689,-73.955536,40.771744,647,2.8221898,15.703065,5,2016,1,3,1,23,16
3,-73.96472,40.806606,-73.98457,40.760677,1628,5.373615,11.882687,5,2016,2,5,2,13,7
1,-73.943146,40.78963,-73.98948,40.762764,2337,4.913891,7.5695367,5,2016,2,6,6,17,32
1,-74.01117,40.703606,-74.00569,40.74136,674,4.2233653,22.558035,1,2016,1,3,4,0,34
1,-73.980316,40.75885,-74.01014,40.705082,1190,6.4853806,19.619638,5,2016,2,4,3,21,29
1,-73.95049,40.771267,-74.00124,40.74649,1191,5.0854487,15.371634,5,2016,2,6,7,12,52
1,-73.99364,40.73422,-73.961464,40.7693,1204,4.7497644,14.201954,5,2016,1,1,7,21,22
1,-73.78248,40.644646,-73.981125,40.720886,1782,18.773487,37.926235,1,2016,2,4,4,23,42
2,-74.013954,40.712833,-73.99755,40.718075,1174,1.5003088,4.600606,5,2016,2,5,6,20,46
1,-74.00329,40.72697,-73.9933,40.73912,470,1.5916303,12.191211,5,2016,2,6,6,14,24
1,-73.96168,40.775967,-73.85739,40.733284,1762,9.984352,20.399357,5,2016,2,5,4,19,15
3,-73.86432,40.76983,-73.98586,40.760952,2341,10.283648,15.814238,5,2016,1,3,5,11,33
1,-73.97698,40.7503,-73.99912,40.73951,596,2.2178712,13.396538,5,2016,1,1,4,19,21
1,-73.981865,40.758774,-73.97022,40.78414,1108,2.9862883,9.702742,5,2016,1,2,5,13,22
1,-73.78984,40.64356,-73.970665,40.68728,2824,16.007584,20.406267,5,2016,1,3,4,16,14
1,-74.00503,40.746452,-73.97201,40.74578,1826,2.782684,5.486124,5,2016,2,6,4,11,48
3,-73.78972,40.643707,-73.9787,40.750343,2065,19.86005,34.62285,1,2016,1,2,6,20,1
1,-73.974014,40.757153,-73.94974,40.777092,653,3.0159104,16.626764,5,2016,1,3,3,21,3
6,-73.78813,40.64146,-73.97177,40.74941,1884,19.590082,37.433277,1,2016,2,6,2,20,13
1,-73.95604,40.76761,-73.9682,40.78669,989,2.3559105,8.575609,5,2016,1,1,4,8,7
1,-73.97317,40.7557,-73.988655,40.736996,419,2.4551072,21.094,1,2016,2,4,7,15,4
1,-73.86368,40.76977,-74.00722,40.704895,2753,14.08184,18.41432,5,2016,2,5,1,17,34
1,-74.00825,40.747353,-73.97945,40.71875,1561,4.00055,9.226124,5,2016,1,3,7,20,39
1,-74.0068,40.706074,-73.97402,40.744076,505,5.0482216,35.987324,1,2016,1,1,3,23,40
2,-73.97727,40.75735,-74.00243,40.7344,900,3.3173723,13.269489,5,2016,1,1,7,15,15
1,-73.87082,40.77374,-73.8575,41.01781,2116,27.16265,46.21245,1,2016,2,6,2,0,31
1,-73.99909,40.74549,-73.97856,40.762325,611,2.5484514,15.015426,5,2016,2,5,2,6,58
1,-73.96168,40.77118,-73.95211,40.78436,604,1.6723422,9.967603,5,2016,1,1,5,14,34
1,-73.99386,40.735798,-73.99462,40.75046,594,1.6317949,9.889667,5,2016,1,2,3,15,54
1,-73.95013,40.780087,-73.96283,40.762684,574,2.2110758,13.867374,5,2016,2,4,4,20,29
1,-73.95372,40.775295,-73.991196,40.72632,1041,6.294772,21.768665,1,2016,2,6,6,22,24
1,-73.96195,40.800446,-73.97842,40.78279,422,2.403078,20.500193,5,2016,1,2,1,18,8
1,-73.96389,40.77365,-74.00511,40.75149,1356,4.257284,11.302525,5,2016,1,3,4,20,15
1,-73.978645,40.748035,-73.97013,40.762737,1118,1.7851642,5.748293,5,2016,2,4,4,12,14
1,-73.97683,40.78821,-73.98375,40.76253,874,2.9143898,12.004352,5,2016,2,6,6,10,1
1,-73.93694,40.798233,-73.94638,40.780884,321,2.086355,23.398373,1,2016,2,6,5,20,31
1,-73.960236,40.76223,-73.95059,40.775314,234,1.666232,25.634338,1,2016,2,5,4,19,8
5,-73.97028,40.76483,-73.95757,40.78248,474,2.2351632,16.975924,5,2016,2,5,4,13,19
1,-73.96866,40.764507,-73.87283,40.771454,1314,8.106763,22.21031,1,2016,1,3,7,13,7
2,-73.99454,40.740234,-73.97619,40.762592,482,2.9273813,21.864258,1,2016,1,1,3,22,20
1,-73.985115,40.768726,-73.95167,40.774433,566,2.8871932,18.363773,5,2016,2,5,1,0,15
2,-74.00101,40.73178,-73.98715,40.771004,913,4.5148206,17.802141,5,2016,1,2,6,20,59
6,-73.99708,40.72064,-73.99963,40.74584,714,2.810363,14.169898,5,2016,2,4,2,10,44
1,-73.97255,40.794018,-73.954056,40.7663,815,3.453083,15.252882,5,2016,1,2,3,6,58
2,-73.98477,40.71057,-73.98941,40.73015,972,2.2116888,8.19144,5,2016,1,3,5,22,1
1,-73.99182,40.750076,-73.971054,40.7567,625,1.897957,10.932232,5,2016,2,5,1,18,6
1,-73.984985,40.74858,-73.98128,40.769115,859,2.3045924,9.658361,5,2016,2,5,7,22,53
1,-73.96957,40.769165,-73.98653,40.730335,983,4.547909,16.655617,5,2016,2,5,7,17,40
1,-73.96788,40.75981,-73.95383,40.77888,342,2.4283571,25.561653,1,2016,1,1,7,15,7
4,-74.00671,40.705555,-73.99169,40.74972,909,5.071456,20.084974,5,2016,2,5,5,6,37
6,-73.98732,40.75064,-73.98929,40.769405,1078,2.0930927,6.9899197,5,2016,2,4,3,9,27
1,-74.000206,40.737846,-74.00031,40.722866,631,1.6657594,9.50354,5,2016,1,2,2,18,2
1,-73.95546,40.767307,-73.989,40.69317,1385,8.714788,22.652157,1,2016,2,4,4,7,33
1,-73.99916,40.74437,-73.98871,40.7587,574,1.8206694,11.418833,5,2016,2,6,1,18,39
1,-74.00161,40.74081,-73.99622,40.725903,383,1.7186812,16.154705,5,2016,1,1,6,10,45
2,-73.96218,40.810726,-73.994835,40.75281,1117,7.002164,22.567404,1,2016,1,1,2,16,32
1,-73.98697,40.74285,-73.994286,40.761356,1447,2.147989,5.3439946,5,2016,2,6,5,18,43
2,-73.97156,40.75063,-73.95263,40.631596,2543,13.3318205,18.873203,5,2016,2,4,3,8,31
1,-73.95688,40.77487,-73.93651,40.857185,981,9.311996,34.172462,1,2016,2,6,6,22,6
3,-73.94436,40.71449,-73.91053,40.70949,755,2.9049134,13.851243,5,2016,1,3,2,4,24
1,-73.97279,40.755596,-73.87312,40.774456,1257,8.652077,24.779217,1,2016,2,4,4,8,53
2,-74.00555,40.709263,-73.970146,40.76274,1221,6.652612,19.614582,5,2016,2,4,7,14,46
2,-73.98465,40.74598,-73.97738,40.75965,940,1.6389729,6.2769175,5,2016,2,4,4,12,24
1,-73.98263,40.76211,-73.99337,40.74749,737,1.8606838,9.088821,5,2016,1,2,6,16,10
3,-73.99577,40.74257,-74.008095,40.72277,690,2.4339924,12.699091,5,2016,1,1,5,12,25
1,-73.99917,40.734234,-73.98209,40.740276,463,1.5877635,12.345462,5,2016,1,2,1,23,17
1,-73.9909,40.750664,-73.99322,40.7342,369,1.8411372,17.962315,5,2016,2,6,1,20,23
5,-73.96744,40.75935,-74.01269,40.70161,1093,7.4671464,24.594444,1,2016,1,2,5,9,27
1,-73.976,40.751137,-74.001854,40.73523,657,2.8059816,15.375242,5,2016,1,1,1,13,52
1,-73.97979,40.781265,-73.94088,40.823223,733,5.700274,27.995888,1,2016,2,6,1,3,2
2,-73.98686,40.75096,-74.00538,40.74003,699,1.9776627,10.185388,5,2016,2,5,3,19,16
2,-73.96702,40.753006,-73.95163,40.76936,294,2.2330494,27.343462,1,2016,2,6,3,21,16
1,-73.97038,40.76499,-73.94967,40.76846,661,1.7865418,9.730031,5,2016,1,2,3,13,28
1,-74.00243,40.717167,-73.98597,40.72675,652,1.749421,9.65938,5,2016,2,6,5,21,35
5,-74.0075,40.74095,-74.01665,40.70491,586,4.081074,25.071445,1,2016,1,2,2,17,52
2,-73.995384,40.7493,-73.98933,40.718147,1057,3.5012171,11.924675,5,2016,2,4,5,22,52
5,-73.98003,40.76597,-73.9912,40.75035,1151,1.9753325,6.178277,5,2016,2,6,4,20,15
1,-73.9545,40.766808,-73.987785,40.72088,660,5.8263264,31.779963,1,2016,2,4,7,9,9
1,-74.00773,40.74061,-73.98351,40.73721,803,2.0749178,9.302247,5,2016,1,1,1,2,3
1,-74.0068,40.73107,-73.97496,40.75847,1954,4.0588727,7.477964,5,2016,2,4,5,8,31
6,-73.98093,40.75524,-74.004555,40.729652,1030,3.4725525,12.137076,5,2016,1,1,7,20,34
4,-73.86278,40.769314,-73.98613,40.74858,2817,10.642161,13.600206,5,2016,2,4,6,14,18
1,-73.97821,40.77716,-73.95763,40.774548,806,1.7574624,7.849708,5,2016,2,5,1,13,8
1,-73.983574,40.73842,-74.005486,40.73956,599,1.8504348,11.121144,5,2016,2,5,7,21,31
1,-73.97586,40.75724,-74.1776,40.69095,1665,18.529667,40.064144,1,2016,2,4,1,9,9
1,-73.95666,40.78077,-73.96964,40.800102,838,2.411706,10.360551,5,2016,2,4,6,9,28
3,-73.87301,40.77412,-73.976074,40.749912,1699,9.088188,19.256903,5,2016,2,5,2,13,5
2,-73.98436,40.748985,-73.996284,40.716057,622,3.79684,21.975279,1,2016,1,1,6,0,9
1,-73.97097,40.764126,-73.96228,40.77618,343,1.5271448,16.028341,5,2016,1,3,5,18,27
1,-73.86691,40.771877,-73.79469,40.73479,998,7.3493247,26.51059,1,2016,1,1,2,14,20
1,-73.955215,40.780247,-73.86183,40.768456,1365,7.97208,21.025267,1,2016,1,3,3,9,44
2,-73.95274,40.77226,-73.97777,40.739113,592,4.2458134,25.819136,1,2016,2,6,4,10,17
1,-73.97258,40.748905,-73.96156,40.760517,313,1.5900586,18.288214,5,2016,1,3,6,7,48
1,-73.95526,40.780243,-73.96987,40.789764,890,1.6229726,6.564833,5,2016,2,4,3,14,42
6,-74.00284,40.76036,-73.98841,40.77898,558,2.4005518,15.487431,5,2016,2,5,2,18,29
1,-73.99007,40.751934,-73.98975,40.72387,1389,3.1207666,8.08838,5,2016,2,4,3,10,11
1,-73.99008,40.756737,-73.95513,40.677525,2556,9.287473,13.080948,5,2016,2,6,2,21,5
2,-73.99514,40.75,-73.9937,40.7355,533,1.6168592,10.920625,5,2016,1,1,5,19,14
3,-73.96012,40.78195,-73.97197,40.75504,1035,3.15452,10.972243,5,2016,1,1,3,8,0
1,-73.9925,40.740444,-73.84011,40.719517,1216,13.049908,38.634594,1,2016,1,3,3,2,44
1,-73.95811,40.74217,-73.93171,40.768066,788,3.6382377,16.621391,5,2016,2,6,1,15,10
1,-73.78186,40.644684,-73.96192,40.767033,1746,20.382696,42.026176,1,2016,2,6,7,0,41
1,-73.99806,40.67481,-74.00444,40.73265,853,6.4541984,27.23929,1,2016,1,3,6,0,22
1,-73.9801,40.753704,-73.99332,40.74161,704,1.7456146,8.926438,5,2016,2,5,4,13,45
1,-73.98156,40.766327,-73.91159,40.763885,2678,5.898931,7.929855,5,2016,2,4,1,3,13
1,-73.99031,40.718864,-73.995544,40.736874,715,2.0505195,10.324294,5,2016,2,6,6,8,54
2,-73.97047,40.799175,-74.01721,40.705193,1081,11.167601,37.1909,1,2016,2,6,7,7,30
3,-74.00239,40.749554,-73.97778,40.75408,798,2.1328678,9.62196,5,2016,1,2,7,16,2
1,-73.98691,40.76161,-74.00841,40.71162,1327,5.8461094,15.85983,5,2016,1,3,7,10,23
3,-74.00817,40.745003,-73.95509,40.804836,1030,8.0150385,28.013727,1,2016,2,6,4,23,2
1,-73.99488,40.750214,-73.96222,40.71162,2456,5.0980387,7.4726954,5,2016,1,2,3,18,28
1,-73.98485,40.724335,-73.88412,40.716717,2159,8.531224,14.225293,5,2016,1,1,1,3,33
1,-73.97603,40.776127,-73.94839,40.778156,1535,2.3383937,5.4841805,5,2016,2,6,7,6,53
5,-73.983795,40.750706,-73.977356,40.76612,490,1.7978475,13.208675,5,2016,2,4,2,19,50
1,-73.98133,40.74727,-74.00549,40.73902,1034,2.2326193,7.773143,5,2016,1,2,7,13,6
1,-73.98254,40.77566,-73.96945,40.80209,1119,3.1383564,10.096589,5,2016,1,2,6,18,45
1,-73.96779,40.7627,-73.981476,40.74219,487,2.5552497,18.88891,5,2016,2,6,7,14,22
1,-73.98707,40.756634,-73.960304,40.780773,711,3.504972,17.746693,5,2016,2,5,5,20,47
1,-73.9861,40.719486,-73.94596,40.711437,654,3.4992898,19.262146,5,2016,2,4,6,4,28
2,-74.00778,40.740944,-73.971176,40.8008,947,7.334932,27.883585,1,2016,2,5,3,23,12
1,-73.98507,40.732204,-73.91049,40.696815,1445,7.415722,18.475155,5,2016,2,5,7,3,27
1,-73.98344,40.73168,-73.948006,40.71416,1276,3.5652146,10.058599,5,2016,2,6,7,3,14
1,-73.99116,40.74578,-73.98339,40.77146,1748,2.9295175,6.0333314,5,2016,1,2,4,17,39
1,-73.98204,40.759678,-73.94705,40.77316,750,3.3059912,15.868757,5,2016,2,4,2,23,18
1,-73.961205,40.76056,-73.947136,40.775932,300,2.0798633,24.958359,1,2016,2,4,7,7,44
1,-73.97058,40.799046,-73.989815,40.767246,963,3.8891091,14.538726,5,2016,1,3,5,18,52
1,-73.987434,40.76014,-73.99098,40.74486,621,1.7249042,9.999445,5,2016,1,1,2,23,32
2,-73.97446,40.756927,-73.96091,40.780144,921,2.822474,11.032472,5,2016,2,4,2,18,27
2,-73.97542,40.787075,-73.94266,40.82355,892,4.9044795,19.793863,5,2016,2,4,7,23,28
1,-73.79015,40.646614,-73.98192,40.75668,2759,20.275837,26.45633,1,2016,2,4,2,17,37
1,-73.98803,40.73782,-73.97207,40.74608,791,1.628321,7.410816,5,2016,1,3,5,13,35
1,-73.95252,40.76627,-73.98343,40.73438,962,4.399202,16.46271,5,2016,2,4,2,9,21
1,-73.863785,40.769745,-73.94626,40.780415,1378,7.045365,18.405888,5,2016,1,2,4,11,45
1,-74.00012,40.71785,-74.01458,40.709675,878,1.5202433,6.2333436,5,2016,1,1,4,15,23
1,-73.86968,40.77255,-73.91341,40.68078,1610,10.849184,24.259045,1,2016,2,4,6,13,33
5,-73.98683,40.76183,-73.97784,40.79212,604,3.4524794,20.577692,5,2016,1,3,1,11,55
1,-73.97971,40.760563,-73.993385,40.73663,1073,2.8997946,9.72904,5,2016,2,5,6,17,58
1,-73.96152,40.76602,-73.94972,40.78193,278,2.0285916,26.269531,1,2016,2,4,7,15,58
3,-73.95606,40.764153,-73.94344,40.791183,632,3.1879883,18.159428,5,2016,2,6,5,12,35
1,-73.99199,40.743793,-73.9747,40.7634,613,2.62186,15.397547,5,2016,1,1,4,13,39
1,-73.98872,40.736977,-73.98273,40.750343,805,1.5698205,7.020315,5,2016,1,2,5,13,40
1,-74.0173,40.70536,-73.97393,40.761566,1217,7.239864,21.416195,1,2016,2,4,7,15,35
1,-73.978645,40.740932,-74.012695,40.701588,1047,5.2320414,17.989826,5,2016,1,3,4,17,11
1,-73.88404,40.74761,-73.90462,40.7477,404,1.7333996,15.4461355,5,2016,2,5,7,3,13
1,-73.986664,40.721684,-73.97257,40.68588,1312,4.154732,11.40018,5,2016,2,5,1,2,40
1,-73.97598,40.757748,-73.98216,40.74075,422,1.9605019,16.72466,5,2016,1,3,1,11,1
1,-73.94769,40.7833,-73.961044,40.756653,926,3.1690252,12.320185,5,2016,2,4,4,19,14
1,-73.88523,40.77294,-73.94695,40.77526,2040,5.2037926,9.183164,5,2016,2,5,4,18,4
1,-74.00437,40.742348,-74.01073,40.723618,865,2.1504383,8.949801,5,2016,2,4,4,0,52
3,-73.96108,40.76912,-73.95695,40.78342,466,1.6279058,12.576097,5,2016,1,3,6,7,54
5,-73.98214,40.775326,-74.00985,40.7217,1279,6.403654,18.024359,5,2016,1,3,3,6,40
2,-73.98938,40.719826,-73.982605,40.757504,676,4.228281,22.517473,1,2016,2,5,3,4,40
1,-73.971924,40.791904,-73.96954,40.7653,1005,2.9649785,10.620818,5,2016,2,6,6,11,40
1,-73.97866,40.7563,-73.98813,40.73735,705,2.2531958,11.50568,5,2016,2,6,6,11,46
1,-73.98584,40.726902,-74.014275,40.704067,788,3.4914691,15.950874,5,2016,2,6,1,11,17
3,-74.00772,40.743004,-73.98938,40.747845,320,1.6361867,18.4071,5,2016,1,3,3,21,19
1,-73.99041,40.718796,-73.98691,40.75089,1457,3.5807612,8.847454,5,2016,2,5,7,14,2
1,-73.987144,40.7295,-73.96071,40.79747,1151,7.879062,24.643461,1,2016,2,4,7,4,24
1,-73.96219,40.759132,-73.96263,40.773174,603,1.5618328,9.324375,5,2016,2,5,4,11,2
1,-73.9855,40.74745,-73.97907,40.72804,724,2.225445,11.065749,5,2016,2,4,7,16,1
1,-73.96117,40.777832,-73.96604,40.763866,822,1.6062562,7.034699,5,2016,1,3,5,16,19
5,-73.78622,40.645287,-73.99307,40.72973,2453,19.808178,29.070297,1,2016,1,1,7,22,42
1,-73.98536,40.73841,-73.87042,40.77368,1356,10.445338,27.730986,1,2016,1,3,4,7,2
2,-73.95512,40.769,-73.97154,40.78537,461,2.2860281,17.851847,5,2016,2,4,7,22,33
2,-73.983986,40.737873,-74.00467,40.70839,741,3.7129917,18.038826,5,2016,2,6,7,17,48
1,-73.95238,40.81077,-73.97607,40.781143,709,3.8507118,19.552275,5,2016,2,5,7,19,58
1,-73.95398,40.76386,-73.99644,40.71551,1143,6.457301,20.337955,5,2016,1,2,2,16,12
2,-73.97909,40.7595,-73.97956,40.724335,660,3.910248,21.328625,1,2016,1,2,5,1,46
1,-73.93281,40.75893,-73.98321,40.76701,836,4.33875,18.683613,5,2016,1,2,1,8,24
1,-73.96573,40.76873,-73.95588,40.67308,2120,10.668105,18.11565,5,2016,2,4,6,20,21
1,-73.98088,40.784336,-73.95667,40.780617,570,2.079763,13.1353445,5,2016,2,6,5,10,53
1,-73.9547,40.77398,-73.96845,40.76151,621,1.8068558,10.474526,5,2016,2,4,6,12,18
1,-73.9915,40.744892,-73.98328,40.760483,333,1.8669027,20.182732,5,2016,1,1,4,6,45
1,-73.9882,40.76429,-73.87281,40.774456,2554,9.782596,13.789093,5,2016,1,2,1,19,47
1,-73.99657,40.731976,-73.97901,40.7499,952,2.4819963,9.3857,5,2016,1,1,4,18,15
1,-73.99025,40.757286,-73.96398,40.75692,620,2.2128863,12.849017,5,2016,1,1,2,13,0
1,-73.99454,40.766026,-73.98638,40.74906,862,2.0074978,8.383982,5,2016,2,6,4,9,47
1,-73.977905,40.75487,-73.952774,40.768166,918,2.5817263,10.124417,5,2016,2,6,2,14,19
3,-73.95294,40.81019,-73.94551,40.77812,993,3.6204908,13.125647,5,2016,2,4,1,16,48
1,-73.863655,40.769623,-73.91322,40.8728,1968,12.207347,22.330513,1,2016,1,2,4,17,40
2,-73.94436,40.808308,-74.012314,40.703846,2113,12.9493065,22.062235,1,2016,2,5,6,10,37
1,-73.7819,40.64477,-73.98589,40.76016,6187,21.455332,12.484111,5,2016,2,6,5,15,48
1,-73.96808,40.759377,-73.98486,40.76865,606,1.7497345,10.394463,5,2016,2,5,2,0,9
2,-74.00448,40.72269,-73.87107,40.77425,1466,12.616073,30.980806,1,2016,2,4,4,11,52
1,-73.9668,40.76701,-73.98179,40.75229,645,2.0673127,11.538489,5,2016,1,2,2,19,2
1,-73.98275,40.754154,-74.01539,40.711246,1315,5.5069633,15.0760975,5,2016,2,4,4,14,2
1,-73.98256,40.74235,-73.9925,40.725266,619,2.0763295,12.075583,5,2016,2,4,7,23,41
1,-73.995544,40.74401,-73.983246,40.76367,906,2.4192219,9.6128025,5,2016,1,3,7,18,18
2,-73.954475,40.783695,-73.96352,40.770065,342,1.6960257,17.852901,5,2016,2,5,7,18,40
2,-74.00125,40.736324,-74.0087,40.706966,645,3.3242178,18.553774,5,2016,2,6,1,0,23
1,-73.98839,40.720024,-73.99253,40.65904,1484,6.790275,16.472366,5,2016,1,2,4,0,14
1,-73.97554,40.73563,-73.96294,40.71201,1275,2.8331199,7.9993973,5,2016,2,6,6,1,48
1,-73.782425,40.644287,-73.85658,40.725502,1342,10.984207,29.465832,1,2016,1,3,1,22,51
3,-74.00104,40.74152,-73.98032,40.76045,503,2.733954,19.567066,5,2016,2,6,5,6,54
1,-73.95288,40.766468,-73.97863,40.76192,1050,2.2267463,7.6345587,5,2016,1,3,2,14,57
1,-73.968124,40.800438,-73.86524,40.770653,1233,9.273495,27.075897,1,2016,2,5,7,5,31
2,-74.00584,40.745476,-73.994026,40.7284,871,2.143563,8.859733,5,2016,1,2,7,19,9
1,-73.870735,40.77366,-73.85992,40.82909,896,6.2305903,25.033623,1,2016,1,2,5,2,35
1,-73.97827,40.745655,-73.965256,40.758293,734,1.7823843,8.74194,5,2016,1,1,5,15,26
1,-73.99181,40.74378,-73.97116,40.79273,1259,5.7141414,16.339087,5,2016,1,2,5,16,33
1,-73.9742,40.757496,-73.95984,40.77549,711,2.3378532,11.837232,5,2016,2,4,6,15,26
1,-73.94715,40.776188,-73.97302,40.755493,851,3.1689901,13.405833,5,2016,1,2,4,7,32
1,-73.88522,40.772728,-73.98058,40.781666,2629,8.090845,11.079134,5,2016,1,1,5,15,31
1,-73.99412,40.751083,-73.972145,40.76348,551,2.3077266,15.077705,5,2016,2,6,5,10,10
1,-74.004036,40.741974,-73.97395,40.764313,650,3.5483935,19.652641,5,2016,2,4,4,1,26
1,-74.007965,40.7151,-73.95984,40.770382,1356,7.363837,19.550009,5,2016,2,4,3,18,36
2,-73.982285,40.778812,-73.96129,40.79862,594,2.823951,17.114855,5,2016,2,5,2,19,17
1,-73.9923,40.750336,-73.96541,40.768887,1570,3.063619,7.0248585,5,2016,1,1,5,15,29
1,-73.95489,40.773296,-73.969086,40.802776,808,3.4891675,15.545795,5,2016,1,2,2,22,20
2,-74.01016,40.71992,-73.97491,40.75692,1397,5.0743012,13.076223,5,2016,1,2,5,21,24
1,-74.00745,40.733513,-74.00361,40.756413,466,2.5667636,19.829075,5,2016,1,2,7,6,3
1,-73.973465,40.784554,-73.91752,40.773857,2235,4.858536,7.8258295,5,2016,2,4,7,15,40
